,country,year_x,wgi_VoiceAndAccountability,wgi_PoliticalStability_Violence,wgi_GovernmentEffectiveness,wgi_RegulatoryQuality,wgi_ControlOfCorruption,wgi_RuleofLaw,WB_RuralPopulation,WB_ForestArea_Percent_of_LandArea,WB_AgriculturalLand_Percent_of_LandArea,WB_Rural_Population_Percent_of_Total_Pop,WB_Net_ODA_Received_Percent_of_GNI,WB_Net_ODA_Received_Per_Capita_USDollars,WB_Net_ODA_Received_USD,WB_Net_FDI_Inflows_Percent_of_GDP,WB_Total_Population,WB_Urban_Population_Percent_of_Total_Pop,WB_Net_FDI_Inflows_USD,WB_GDP_Growth_Annual_Percentage,WB_GDPPC_Growth_Annual_Percentage,WB_Inflation_Consumer_Prices_Annual_Percent,WB_Total_Reserves_USD,WB_GDP_USD,WB_GDPPC_USD,WB_Inflation_GDP_Deflator_Annual_Percent,WB_Labor_Force_Total,WB_Literacy_Rate_Adult_Total_Percent,WB_Total_Nat_Resource_Rents_Percent_of_GDP,WB_Oil_Rents_Percent_of_GDP,WB_Gini_Index,WB_Income_Share_Held_By_Highest_10_Percent,WB_Intentional_Homicides_Per_100000_People,WB_Patent_Applications_Residents,WB_Informal_Economy,IADB_DPI2020_YRSOFFC,IADB_DPI2020_PRTYIN,IADB_DPI2020_PARTYAGE,Heritage_Found_Economic_Freedom,Heritage_Found_Property_Rights,Heritage_Found_Government_Integrity,Heritage_Found_Judicial_Effectiveness,Heritage_Found_Tax_Burden,Heritage_Found_Govt_Spending,Heritage_Found_Fiscal_Health,Heritage_Found_Business_Freedom,Heritage_Found_Labor_Freedom,Heritage_Found_Monetary_Freedom,Heritage_Found_Trade_Freedom,Heritage_Found_Investment_Freedom,Heritage_Found_Financial_Freedom,country_name,year_y,v2x_jucon,v2xlg_legcon,v2pscohesv,v2x_rule,v2xcl_prpty,v2xcl_acjst,v2x_cspart,v2psprlnks,v2lgcrrpt,v2exbribe,v2exembez,v2excrptps,v2mecenefm,v2xnp_pres,v2xnp_client,v2xps_party,v2x_accountability,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2x_delibdem,v2x_egaldem,v2exthftps,v2jucorrdc,v2juaccnt,v2jupoatck,v2jupurge,v2clkill,v2cltort,v2clrspct,v2clrelig,v2clstown,v2csreprss,v2csantimv,v2mecorrpt,v2pepwrses,v2peedueq,v2pehealth,v2peprisch,v2pesecsch,v2petersch,v2cacamps,v2caviol,v2caassemb,v2cagenmob,v2catrauni,v2x_veracc,v2x_horacc,v2x_neopat,v2xnp_regcorr,v2x_civlib,v2x_clphy,v2x_clpol,v2x_clpriv,v2xpe_exlecon,v2x_corr,v2x_execorr,v2x_pubcorr,v2smgovdom,v2smpolsoc,e_democracy_breakdowns,e_fh_cl,e_fh_pr,e_fh_rol,e_fh_status,e_coups,e_p_polity,e_autoc,e_democ,e_polcomp,e_polity2,e_ti_cpi,e_peaveduc,e_civil_war,e_pt_coup,PopDV,YearsPOP,WID_Top_1_Percent_Share_Income_Inequality,WID_Top_10_Percent_Share_Income_Inequality,WID_Bottom_50_Percent_Share_Income_Inequality,WID_Top_1_Percent_Share_Wealth_Inequality,WID_Top_10_Percent_Share_Wealth_Inequality,WID_Bottom_50_Percent_Share_Wealth_Inequality
0,Argentina,1996,0.391903371,0.112985872,0.16569005,0.51806742,-0.101317152,0.075552642,4100563,12.46337729,46.8237177,11.634,0.045918267,3.473832386,122440002.4,2.553203406,35246376,88.366,6948536687,5.526689827,4.274586465,,19719017351,2.72E+11,7721.354105,-0.052375497,15433978,,1.631056084,1.420050955,49.5,36.9,,1097,23,7,7,24.5,74.7,70,70,,80.2,89.4,,85,,77.5,60,70,70,Argentina,1996,0.596,0.721,1.003,0.531,0.871,0.732,0.845,0.244,0.143,-1.629,0.511,0.155,1.743,0.312,0.51,0.687,1.436,0.833,0.628,0.564,0.731,0.656,0.689,-0.607,0.494,-0.827,1.828,2.296,1.827,0.424,2.291,1.856,2.489,-2.447,-0.129,1.647,0.734,0.97,99.997,74.114,44.054,-0.004,-1.185,2.431,0.777,2.177,1.33,0.574,0.453,0.632,0.925,0.915,0.95,0.923,0.252,0.524,0.629,0.315,,,4,3,2,,1,0,7,0,7,9,7,,8.138,0,0,0,0,0.1295,0.4525,0.1449,0.3154,0.6387,0.0394
1,Argentina,1997,,,,,,,4077785,12.39665435,46.85770036,11.436,0.034628658,2.783710993,99260002.14,3.127877939,35657438,88.564,9160272052,8.111046771,6.864733362,,22424600097,2.93E+11,8213.125127,-0.463913131,15859936,,1.440125929,1.247828566,49.1,36.4,,824,23.2,8,8,25.5,73.3,70,52,,80.2,90,,85,,82,60,70,70,Argentina,1997,0.596,0.721,1.003,0.531,0.871,0.732,0.845,0.244,0.143,-1.629,0.511,0.155,1.743,0.312,0.507,0.687,1.435,0.832,0.627,0.564,0.73,0.652,0.689,-0.607,0.494,-0.827,1.828,2.296,1.827,0.424,2.291,1.856,2.489,-2.447,-0.129,1.647,0.734,0.97,99.997,75.821,46.309,-0.004,-1.185,2.431,0.777,2.177,1.329,0.558,0.455,0.632,0.925,0.915,0.95,0.923,0.252,0.524,0.629,0.315,,,4,3,2,,1,0,7,0,7,9,7,,8.196,0,0,0,0,0.1119,0.4525,0.1449,0.3195,0.6408,0.0392
2,Argentina,1998,0.308850229,-0.131969869,0.37648508,0.570877492,-0.113424167,-0.005768961,4053893,12.32993141,46.89241383,11.241,0.02536854,2.050829775,73959999.08,2.438768962,36063451,88.759,7290657132,3.850178852,2.681002816,,24855741222,2.99E+11,8289.507568,-1.705279624,16168747,,0.821633522,0.6391589,50.7,38.1,,861,23.2,9,9,26.666666,70.9,70,34,,77.7,83.3,,85,,87.7,60,70,70,Argentina,1998,0.61,0.721,1.003,0.535,0.871,0.732,0.845,0.244,0.143,-1.629,0.511,0.155,1.743,0.308,0.494,0.687,1.438,0.83,0.627,0.56,0.726,0.649,0.689,-0.607,0.494,-0.827,1.828,2.296,1.827,0.424,2.291,1.856,2.489,-2.447,-0.129,1.647,0.734,0.97,99.997,77.527,48.563,-0.004,-1.185,2.431,0.777,2.177,1.327,0.574,0.457,0.632,0.925,0.915,0.95,0.923,0.252,0.524,0.629,0.315,,,4,3,3,,1,0,7,0,7,9,7,,8.254,0,0,0,0,0.1135,0.4525,0.1449,0.3146,0.6382,0.0395
3,Argentina,1999,,,,,,,4028898,12.26320847,46.92237703,11.048,0.029841416,2.259015131,82379997.25,8.460582171,36467218,88.952,23987696390,-3.385457041,-4.455178459,,26350163486,2.84E+11,7774.736203,-1.836558392,16262854,,1.361017899,1.12795157,49.8,37,,899,23.1,10,10,27.666666,70.6,70,28,,77.6,83.9,,85,,89.8,61.2,70,70,Argentina,1999,0.616,0.721,1.003,0.536,0.871,0.732,0.845,0.244,0.143,-1.629,0.511,0.155,1.743,0.301,0.495,0.687,1.431,0.83,0.628,0.561,0.722,0.649,0.689,-0.607,0.494,-0.827,1.828,2.296,1.827,0.424,2.291,1.856,2.489,-2.447,-0.129,1.647,0.734,0.97,99.997,79.234,50.818,-0.004,-1.185,2.431,0.777,2.177,1.329,0.572,0.457,0.632,0.925,0.915,0.95,0.923,0.252,0.524,0.629,0.315,,,4,3,2,,1,0,8,0,8,9,8,,8.312,0,0,0,0,0.1222,0.4525,0.1449,0.3136,0.6377,0.0396
4,Argentina,2000,0.418346971,0.09935876,0.032177139,0.257244587,-0.192118764,-0.149922729,4003431,12.19648554,46.95818671,10.858,0.026950439,2.02219658,74559997.56,3.665790595,36870796,89.142,10418314339,-0.788998939,-1.874936367,,25152117244,2.84E+11,7708.099115,1.037287101,16436817,,2.284700695,1.990124909,51.1,37.7,,1062,23,1,1,16,70,70,30,,74,79.7,,85,,89.6,62,70,70,Argentina,2000,0.718,0.733,1.003,0.657,0.871,0.732,0.845,0.244,0.294,0.013,1.892,0.155,2.039,0.218,0.439,0.681,1.497,0.839,0.66,0.569,0.759,0.669,0.76,-0.607,0.693,-0.768,1.328,2.296,1.827,0.424,2.291,1.674,2.489,-1.802,0.872,1.771,0.734,0.97,99.997,80.94,53.072,-0.004,-1.185,1.167,1.253,2.177,1.331,0.719,0.306,0.321,0.928,0.915,0.956,0.923,0.254,0.412,0.227,0.303,2.062,-0.52,4,2,1,,1,0,8,0,8,9,8,,8.37,0,0,0,0,0.1295,0.4525,0.1449,0.3064,0.6339,0.04
5,Argentina,2001,,,,,,,3977684,12.08087142,46.99326559,10.671,0.060405418,4.2290349,157639999.4,0.806164135,37275644,89.329,2166136830,-4.408839683,-5.447048173,,14555552760,2.69E+11,7208.373114,-1.095767718,16504173,97.1933136,1.924530043,1.611582324,53.3,39.5,8.39422117,691,22.9,2,2,17.5,68.6,50,30,,72.5,79.7,,85,,95.4,65,70,70,Argentina,2001,0.725,0.781,0.921,0.667,0.923,0.732,0.845,0.244,0.294,0.013,1.892,0.155,1.902,0.216,0.44,0.659,1.521,0.838,0.669,0.568,0.766,0.669,0.76,-0.607,0.693,-1.079,1.877,2.296,1.827,0.424,2.291,1.422,2.489,-1.802,0.872,1.771,0.734,0.97,99.997,79.715,55.274,-0.004,-1.185,1.542,2.004,2.177,1.332,0.882,0.304,0.321,0.932,0.915,0.955,0.936,0.257,0.412,0.227,0.303,2.062,-0.434,4,3,3,,2,0,8,0,8,9,8,,8.41,0,0,0,0,0.1293,0.4585,0.1343,0.2822,0.6118,0.0441
6,Argentina,2002,0.260062754,-0.779415369,-0.280357331,-0.919025242,-0.468211174,-0.757995069,3952815,11.9652573,47.0312677,10.49,0.106711896,2.627001566,98989997.86,2.198958195,37681743,89.51,2148910000,-10.89448483,-11.85478172,,10492424819,97724004252,2593.404563,30.55520405,16336016,,5.815337411,4.708040861,53.8,40.5,9.474084041,718,22.7,1,1,18,65.7,50,35,,72.4,76.5,,70,,94.3,53,70,70,Argentina,2002,0.719,0.774,0.921,0.638,0.923,0.732,0.845,0.244,0.294,-0.48,1.611,0.155,1.902,0.222,0.442,0.659,1.494,0.833,0.665,0.563,0.771,0.661,0.76,-0.607,0.693,-2.145,0.72,2.296,1.827,0.424,2.291,1.422,2.489,-1.576,0.872,1.771,0.734,0.97,99.997,78.49,57.476,-0.004,-1.185,2.448,2.004,2.177,1.33,0.855,0.316,0.393,0.93,0.915,0.954,0.936,0.258,0.434,0.317,0.303,2.062,-0.199,4,3,3,,2,0,8,0,8,9,8,,8.45,0,0,0,0,0.1337,0.4557,0.1351,0.2941,0.628,0.0405
7,Argentina,2003,0.349125266,-0.358941168,-0.047438342,-0.708925664,-0.478336334,-0.773514152,3928382,11.84964318,47.8254753,10.314,0.096135667,3.090748146,117720001.2,1.294810869,38087866,89.686,1652010000,8.837040796,7.676534048,,14157284136,1.28E+11,3349.8063,10.49570302,16799186,,5.118339455,4.163853617,50.9,37.7,7.789882479,792,22.9,1,2,19,56.3,30,35,,72.2,76.8,,70,,88.5,54,50,30,Argentina,2003,0.73,0.774,0.921,0.631,0.923,0.732,0.845,0.244,0.294,-0.48,0.255,0.155,0.319,0.215,0.431,0.659,1.423,0.815,0.653,0.55,0.664,0.646,0.76,-0.348,0.693,-2.462,-0.567,2.296,1.827,0.843,2.291,1.422,2.489,-1.576,0.872,1.771,0.734,0.97,99.997,77.265,59.678,0.376,-1.185,2.448,1.767,2.177,1.332,0.859,0.335,0.496,0.924,0.915,0.935,0.936,0.258,0.457,0.5,0.303,2.062,-0.303,4,2,2,,1,0,8,0,8,9,8,,8.49,0,0,1,1,0.1314,0.4414,0.1497,0.3101,0.6426,0.0373
8,Argentina,2004,0.362040877,-0.609955668,-0.057569072,-0.71375984,-0.424991339,-0.80737251,3903086,11.73402906,49.09032444,10.14,0.066506518,2.528839037,97339996.34,2.505017516,38491970,89.86,4124710000,9.029573301,7.884937505,,19659591804,1.65E+11,4277.721573,18.36335425,17277472,,4.950483499,4.058483229,48.4,35.2,6.073994134,786,23.2,2,3,32.5,53.9,30,28,,72.4,78.8,,70,,64,61.6,50,30,Argentina,2004,0.73,0.774,1.021,0.638,0.923,0.732,0.845,0.244,0.294,-0.48,0.255,0.155,1.476,0.215,0.426,0.666,1.394,0.812,0.656,0.547,0.628,0.642,0.76,-0.348,-0.317,-1.063,0.024,2.296,1.827,0.843,2.291,1.422,1.906,-1.576,0.872,1.771,0.734,0.97,99.997,76.04,61.879,0.376,-1.185,2.448,1.767,2.177,1.322,0.856,0.343,0.496,0.925,0.915,0.937,0.936,0.261,0.457,0.5,0.303,2.159,-0.623,4,2,2,,1,0,8,0,8,9,8,,8.53,0,0,1,2,0.1291,0.4271,0.1643,0.3122,0.6453,0.0366
9,Argentina,2005,0.269231677,-0.041768059,-0.124214523,-0.548367202,-0.388192415,-0.554654777,3877236,11.61841495,50.35188494,9.969,0.053288792,2.413549641,93870002.75,2.649354415,38892924,90.031,5265250000,8.85165992,7.729488996,,28081718502,1.99E+11,5109.852245,10.3175112,17396830,,5.7512162,4.834948918,47.7,34.9,5.651413609,1054,23.2,3,4,33.5,51.7,30,25,,72.7,73.7,,70,43.9,65.4,56.2,50,30,Argentina,2005,0.706,0.763,0.724,0.633,0.923,0.732,0.848,0.244,0.294,-0.48,0.255,0.155,1.476,0.232,0.432,0.629,1.369,0.81,0.644,0.546,0.626,0.64,0.76,-0.348,-0.166,-0.221,0.686,2.296,1.827,0.843,2.291,1.422,1.906,-1.576,0.872,1.771,0.734,0.97,99.997,74.816,64.081,0.82,-1.185,2.448,1.767,2.177,1.273,0.816,0.347,0.496,0.925,0.915,0.937,0.936,0.261,0.457,0.5,0.303,2.159,-0.623,4,2,2,11,1,0,8,0,8,9,8,,8.57,0,0,1,3,0.1069,0.4152,0.1665,0.2533,0.5908,0.0471
